city_name,sightseeing_1,sightseeing_2,sightseeing_3,sightseeing_4,sightseeing_5,sightseeing_6
New York City,Statue of liberty,Central park,Broadway shows,Times square,Empire state building,9/11 memorial
Paris,Eiffel tower,Louvre museum,Seine river cruise,Notre-dame cathedral,Champs-élysées,Montmartre
Amsterdam,Anne frank house,Van gogh museum,Canal cruise,Rijksmuseum,Vondelpark,Heineken Experience
Sydney,Sydney opera house,Bondi beach,Sydney harbour bridge climb,Taronga zoo,Sydney harbour,Manly Beach
Cancun,Mayan ruins of tulum,Snorkeling in Xel-ha park,Isla mujeres day trip,Chichen itza,Xcaret park,Isla contoy
Vancouver,Capilano suspension bridge,Stanley park,Granville island public market,Grouse mountain,Vancouver Aquarium,Science World
Copenhagen,Tivoli gardens,Nyhavn harbor,The little mermaid statue,Rosenborg castle,Christiansborg Palace,Amalienborg Palace
Hong Kong,Victoria peak & harbour,Star ferry,Disneyland hong kong,Wong tai sin temple,Lantau island,Ocean Park Hong Kong
Los Angeles,Universal Studios,Griffith Observatory,Hollywood Sign,Santa Monica Pier,Getty Center,Rodeo Drive
Dubai,Burj khalifa,Desert safari,Dubai Mall,The Dubai Fountain,Palm Jumeirah,Dubai Miracle Garden
Toronto,CN Tower,Royal Ontario Museum,Toronto Islands Cruise,Niagara Falls Tour,Distillery District Walking Tour,St. Lawrence Market
Mumbai,Gateway of India,Elephanta Caves,Dharavi Slum Tour,Marine Drive Sunset Cruise,Kanheri Caves,Mumbai Film City
Barcelona,Sagrada Família,Park Güell,La Rambla,Montserrat Monastery Tour,Barceloneta Beach Day,Gothic Quarter Walking Tour
Rome,Colosseum,Vatican City,Trevi Fountain,Vatican Museum Tour,Roman Forum Guided Visit,Circus Maximus
Tokyo,Tokyo Disneyland,Meiji Shrine,Tsukiji fish market,Sumo Wrestling Match,Kabuki Theater Performance,Shibuya Crossing
Cape Town,Table Mountain,Cape Winelands,Wine Tasting Stellenbosch,Shark Cage Diving,Robben Island,Victoria & Alfred Waterfront
Auckland,Sky Tower,Auckland Art Gallery,Waiheke Island,Auckland Harbour Dinner Cruise,Auckland Zoo,Auckland War Memorial Museum
London,British Museum,Tower of London,Buckingham Palace,Harry Potter Studio Tour,Thames River Cruise,West End Theatre Show
Berlin,Brandenburg Gate,Berlin Wall,Museum Island,Third Reich Walking Tour,Spree River Boat Cruise,Checkpoint Charlie
Athens,Acropolis,Parthenon,Plaka,Athens Food Tour,Delphi Day Trip,Museum of Cycladic Art